Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
rain_c,0,rain_c_0,Guangfu,0.009,0.359,1
*-ŋ_red,ŋ,*-ŋ_red_ŋ,Guangfu,0.009,0.359,1
root_m,0,root_m_0,Guangfu,0.009,0.359,1
sand_m,0,sand_m_0,Guangfu,0.009,0.359,1
small_col_m,0,small_col_m_0,Guangfu,0.009,0.363,1
smoke_m,0,smoke_m_0,Guangfu,0.009,0.359,1
soil_earth_m,0,soil_earth_m_0,Guangfu,0.009,0.359,1
teacher_m,0,teacher_m_0,Guangfu,0.009,0.363,1
ten_m,0,ten_m_0,Guangfu,0.009,0.359,1
to bite_m,0,to bite_m_0,Guangfu,0.009,0.359,1
to burn_m,0,to burn_m_0,Guangfu,0.009,0.359,1
f_to fly,f,f_to fly_f,Guangfu,0.009,0.359,1
*k_to see_col,k,*k_to see_col_k,Guangfu,0.009,0.359,1
to sleep_m,0,to sleep_m_0,Guangfu,0.009,0.359,1
to swim_m,0,to swim_m_0,Guangfu,0.009,0.363,1
to walk_m,0,to walk_m_0,Guangfu,0.009,0.359,1
tool_m,0,tool_m_0,Guangfu,0.009,0.359,1
tool_c,0,tool_c_0,Guangfu,0.009,0.359,1
woman_c,0,woman_c_0,Guangfu,0.009,0.359,1
*-p_enter,p,*-p_enter_p,Guangfu,0.006,0.358,0.919
*-n_liver,n,*-n_liver_n,Guangfu,0.006,0.358,0.919
*ɣ_lake,f,*ɣ_lake_f,Guangfu,0.005,0.36,0.243
Spring_m,0,Spring_m_0,Guangfu,0.004,0.357,0.946
*i_fat,i,*i_fat_i,Guangfu,0.003,0.364,0.973
all_m,0,all_m_0,Guangfu,0.002,0.356,0.973
*x_black,h,*x_black_h,Guangfu,0.002,0.356,0.973
blood_m,0,blood_m_0,Guangfu,0.002,0.356,0.973
*-k_green,k,*-k_green_k,Guangfu,0.002,0.356,0.973
*kʰ_mouth,h,*kʰ_mouth_h,Guangfu,0.002,0.36,0.973
*i_nose,i,*i_nose_i,Guangfu,0.002,0.357,0.27
village_m,0,village_m_0,Guangfu,0.002,0.356,0.973
yellow_m,0,yellow_m_0,Guangfu,0.002,0.356,0.973
