Map,Variant,Feature,Dialect Group,PMI,nPMI,Exclusivity,Representativeness
s_small_col,ɬ,s_small_col_ɬ,3,-0.453,-0.08,0.043,0.333
s_three,ɬ,s_three_ɬ,3,-0.469,-0.082,0.042,0.333
*t_many,t,*t_many_t,3,-0.392,-0.083,0.044,0.667
i_to see_col,i,i_to see_col_i,3,-0.392,-0.083,0.044,0.667
*t_winter,t,*t_winter_t,3,-0.392,-0.083,0.044,0.667
s_history,s,s_history_s,3,-0.404,-0.086,0.044,0.667
ts_to know,ʦ,ts_to know_ʦ,3,-0.408,-0.087,0.043,0.667
s_four,ɬ,s_four_ɬ,3,-0.499,-0.088,0.041,0.333
s_heart,ɬ,s_heart_ɬ,3,-0.499,-0.088,0.041,0.333
s_new,ɬ,s_new_ɬ,3,-0.499,-0.088,0.041,0.333
s_small_lit,ɬ,s_small_lit_ɬ,3,-0.499,-0.088,0.041,0.333
s_to die,ɬ,s_to die_ɬ,3,-0.499,-0.088,0.041,0.333
s_to think,ɬ,s_to think_ɬ,3,-0.499,-0.088,0.041,0.333
s_west,ɬ,s_west_ɬ,3,-0.499,-0.088,0.041,0.333
*d_big,t,*d_big_t,3,-0.424,-0.09,0.043,0.667
i_hot,i,i_hot_i,3,-0.468,-0.1,0.042,0.667
i_two,i,i_two_i,3,-0.469,-0.1,0.042,0.667
*i_nose,i,*i_nose_i,3,-0.692,-0.103,0.036,0.167
*d_floor/ground,t,*d_floor/ground_t,3,-0.497,-0.106,0.042,0.667
iu_to burn,iu,iu_to burn_iu,3,-0.528,-0.112,0.04,0.667
one_m,0,one_m_0,3,-0.542,-0.116,0.04,0.667
to drink_m,0,to drink_m_0,3,-0.543,-0.116,0.04,0.667
ui_ash,ui,ui_ash_ui,3,-0.621,-0.121,0.037,0.5
*ɲ_enter,j,*ɲ_enter_j,3,-0.692,-0.121,0.036,0.333
ɔi_love,ɔi,ɔi_love_ɔi,3,-0.706,-0.124,0.036,0.333
*ɲ_to drink,j,*ɲ_to drink_j,3,-0.743,-0.13,0.034,0.333
*i_tail,i,*i_tail_i,3,-0.885,-0.132,0.031,0.167
tsʰ_village,ʦʰ,tsʰ_village_ʦʰ,3,-0.675,-0.132,0.036,0.5
*i_you,i,*i_you_i,3,-0.885,-0.132,0.031,0.167
tsʰ_seven,ʦʰ,tsʰ_seven_ʦʰ,3,-0.692,-0.135,0.036,0.5
ɵ_out,ɐ,ɵ_out_ɐ,3,-0.781,-0.137,0.034,0.333
*tsʰ_autumn,ʦʰ,*tsʰ_autumn_ʦʰ,3,-0.706,-0.138,0.036,0.5
*i_four,i,*i_four_i,3,-0.929,-0.139,0.03,0.167
o_breast,o,o_breast_o,3,-0.726,-0.142,0.035,0.5
*d_to sit,ʦʰ,*d_to sit_ʦʰ,3,-0.805,-0.142,0.033,0.333
o_red,o,o_red_o,3,-0.743,-0.145,0.034,0.5
*ŋ_five,ŋ̩,*ŋ_five_ŋ̩,3,-0.839,-0.147,0.032,0.333
u_full,u,u_full_u,3,-0.759,-0.148,0.034,0.5
o_winter,o,o_winter_o,3,-0.759,-0.148,0.034,0.5
ɵ_spring,ɐ,ɵ_spring_ɐ,3,-0.862,-0.151,0.032,0.333
*-u-_bone,w,*-u-_bone_w,3,-0.775,-0.152,0.034,0.5
dry_m,0,dry_m_0,3,-0.775,-0.152,0.034,0.5
o_cold,o,o_cold_o,3,-0.791,-0.155,0.033,0.5
*i_floor/ground,i,*i_floor/ground_i,3,-1.042,-0.156,0.029,0.167
liver_m,0,liver_m_0,3,-0.807,-0.158,0.033,0.5
to see_lit_m,0,to see_lit_m_0,3,-0.801,-0.158,0.034,0.5
ɔ_dry,ɔ,ɔ_dry_ɔ,3,-0.907,-0.159,0.031,0.333
*ɲ_two,j,*ɲ_two_j,3,-1.094,-0.163,0.027,0.167
i_smoke,i,i_smoke_i,3,-0.854,-0.167,0.032,0.5
ɐ_tomb,ɐ,ɐ_tomb_ɐ,3,-0.851,-0.167,0.033,0.5
ɔ_to see_lit,ɔ,ɔ_to see_lit_ɔ,3,-0.949,-0.168,0.031,0.333
œ_bird_col,œ,œ_bird_col_œ,3,-1.132,-0.169,0.026,0.167
*ɲ_ear,j,*ɲ_ear_j,3,-1.132,-0.169,0.026,0.167
ɔ_liver,ɔ,ɔ_liver_ɔ,3,-0.972,-0.171,0.029,0.333
*ɲ_hot,j,*ɲ_hot_j,3,-1.17,-0.175,0.026,0.167
œ_leg,œ,œ_leg_œ,3,-1.17,-0.175,0.026,0.167
i_leaf,i,i_leaf_i,3,-0.897,-0.176,0.032,0.5
*ɲ_moon,j,*ɲ_moon_j,3,-1.206,-0.18,0.025,0.167
boat_m,0,boat_m_0,3,-0.929,-0.182,0.03,0.5
ash_m,0,ash_m_0,3,-0.943,-0.184,0.03,0.5
full_m,0,full_m_0,3,-0.943,-0.184,0.03,0.5
